ID,Extended,RTR,Length,Data,Count,Timestamps
761,0,0,2,"0,0,,,,,,",28,"0.492521,0.992264,1.49197,1.992042,2.491416,2.991146,3.490867,3.990593,4.490373,4.99005,5.490335,5.989494,6.489225,6.988945,7.488677,7.988399,8.488124,8.987852,9.487571,9.987299,10.487029,10.986749,11.486474,11.986197,12.486241,12.985647,13.485454,13.985102"
762,0,0,8,"0,1,0,24,0,0,0,0",29,"0.355666,0.855589,1.355565,1.855515,2.355572,2.855581,3.355566,3.855508,4.355626,4.855555,5.355713,5.855529,6.355563,6.85547,7.355516,7.855472,8.355563,8.85548,9.356213,9.855578,10.355643,10.855511,11.356264,11.855582,12.355565,12.85548,13.356518,13.855481,14.357054"
767,0,0,8,"0,143,0,0,255,255,255,255",143,"0.095099,0.195035,0.295207,0.397137,0.494995,0.594963,0.695009,0.795116,0.894995,0.994953,1.094918,1.194892,1.29497,1.395567,1.494927,1.594909,1.694917,1.794908,1.894918,1.994881,2.09492,2.194902,2.294945,2.395588,2.494912,2.594877,2.694912,2.794925,2.894906,2.994898,3.094928,3.194895,3.295041,3.395635,3.494995,3.595704,3.694951,3.794894,3.894912,3.994992,4.094981,4.195334,4.295105,4.395482,4.495001,4.595072,4.695791,4.795056,4.895057,4.995022,5.095052,5.195035,5.295113,5.396093,5.495076,5.595038,5.69499,5.795022,5.894972,5.994953,6.09495,6.194929,6.294966,6.395412,6.495088,6.595023,6.695026,6.795006,6.895608,6.994954,7.094941,7.194948,7.294992,7.395954,7.494936,7.594944,7.694902,7.794906,7.894924,7.994901,8.094906,8.194949,8.29497,8.395702,8.494972,8.594914,8.694896,8.794965,8.894918,8.994916,9.094948,9.194913,9.294982,9.395594,9.494972,9.594944,9.695077,9.794971,9.894983,9.995459,10.09491,10.194851,10.294981,10.39573,10.494914,10.59492,10.694885,10.794849,10.894859,10.99534,11.094818,11.195,11.294857,11.395401,11.494832,11.595119,11.694812,11.795183,11.894812,11.9948,12.094832,12.19506,12.294862,12.400732,12.494824,12.595198,12.694843,12.794792,12.894803,12.995871,13.094884,13.195576,13.294972,13.395497,13.494792,13.595702,13.694788,13.794782,13.894826,13.995688,14.094798,14.195589,14.294849"
769,0,0,8,"0,0,0,0,0,0,0,0",14,"0.38458,1.383119,2.383494,3.383133,4.383854,5.383541,6.383765,7.382714,8.38323,9.38269,10.383254,11.382894,12.383459,13.382803"
770,0,0,8,"0,2,0,0,8,0,0,0",18,"0.386494,1.384111,2.329544,2.385869,3.384125,4.384842,5.384534,5.57951,6.384757,7.384633,8.385153,8.65994,9.384612,10.385174,11.383883,11.529164,12.384448,13.383795"
770,0,0,8,"0,2,16,0,8,0,0,0",4,"2.301057,5.549001,8.629038,11.49911"
774,0,0,8,"0,0,0,0,0,0,0,0",14,"0.474908,1.474826,2.474822,3.474837,4.474875,5.474929,6.474846,7.474806,8.474823,9.474868,10.474869,11.474925,12.475952,13.475674"
778,0,0,8,"132,128,0,121,252,15,0,103",9,"5.665834,6.4847,7.484698,8.48471,9.484787,10.484747,11.484747,12.484727,13.484785"
778,0,0,8,"132,128,0,120,252,15,0,103",6,"0.484877,1.484794,2.484822,3.484812,4.484781,5.484751"
781,0,0,4,"0,0,0,0,,,,",14,"0.387172,1.385711,2.386552,3.385721,4.386446,5.386134,6.386358,7.385315,8.385831,9.385291,10.385851,11.384565,12.385126,13.384474"
