Section,ID,Extended,RTR,Length,Data,Count,Timestamps
IN_B_NOT_A,762,0,0,8,"0,0,187,24,0,0,200,0",2,"6.34107,12.260139"
IN_B_NOT_A,762,0,0,8,"0,0,188,24,0,0,200,0",2,"6.35939,12.280185"
IN_B_NOT_A,762,0,0,8,"0,0,189,24,0,0,200,0",4,"2.959448,6.380756,8.640098,12.299445"
IN_B_NOT_A,762,0,0,8,"0,0,190,24,0,0,200,0",2,"6.399529,12.320498"
IN_B_NOT_A,762,0,0,8,"0,0,191,24,0,0,200,0",2,"6.420519,12.341023"
IN_B_NOT_A,762,0,0,8,"0,0,192,24,0,0,200,0",3,"6.440142,8.620541,12.359438"
IN_B_NOT_A,762,0,0,8,"0,0,193,24,0,0,200,0",2,"6.45938,12.3807"
IN_B_NOT_A,762,0,0,8,"0,0,194,24,0,0,200,0",3,"6.499551,8.599617,12.420615"
IN_B_NOT_A,762,0,0,8,"0,0,195,24,0,0,200,0",3,"2.942071,6.541115,12.459428"
IN_B_NOT_A,762,0,0,8,"0,0,196,24,0,0,200,0",2,"6.579965,12.499442"
IN_B_NOT_A,762,0,0,8,"0,0,197,24,0,0,200,0",4,"2.921572,6.640165,8.580068,12.561019"
IN_B_NOT_A,762,0,0,8,"0,0,198,24,0,0,200,0",3,"6.699563,6.760126,12.62058"
IN_B_NOT_A,762,0,0,8,"0,0,199,24,0,0,200,0",3,"6.821796,12.741172,12.760183"
IN_B_NOT_A,762,0,0,8,"0,0,34,24,0,0,200,0",8,"4.159545,4.260192,4.760216,5.260075,9.879453,10.260091,10.760209,11.260077"
IN_B_NOT_A,762,0,0,8,"0,0,35,24,0,0,200,0",3,"3.959493,9.679512,9.76122"
IN_B_NOT_A,762,0,0,8,"0,0,36,24,0,0,200,0",2,"3.860377,9.579543"
IN_B_NOT_A,762,0,0,8,"0,0,37,24,0,0,200,0",4,"3.779941,5.659416,9.520733,11.5994"
IN_B_NOT_A,762,0,0,8,"0,0,38,24,0,0,200,0",3,"3.742209,3.7601,9.459524"
IN_B_NOT_A,762,0,0,8,"0,0,39,24,0,0,200,0",2,"3.699492,9.420647"
IN_B_NOT_A,762,0,0,8,"0,0,40,24,0,0,200,0",4,"3.659416,5.679949,9.399562,11.620447"
